input_id,input_id_type,inchikey,mapping_confidence
1025-15-6(2),CASRN,KOMNUTZXSVSERR-UHFFFAOYSA-N,inchi
102518-79-6(2),CASRN,JUGJMXIKPNJQLT-QDEBKDIKSA-N,inchi
10258-54-5(2),CASRN,SGLKIEOMYXTGBH-UHFFFAOYSA-N,inchi
"10262-69-8(2), 10347-81-6(2)",CASRN,QSLMDECMDJKHMQ-UHFFFAOYSA-N,inchi
"102625-70-7(2), 138786-67-1(4)",CASRN,IQPSEEYGBUAQFF-UHFFFAOYSA-N,inchi
10265-92-6(4),CASRN,NNKVPIKMPCQWCG-UHFFFAOYSA-N,inchi
102676-31-3(2),CASRN,CLPFFLWZZBQMAO-UHFFFAOYSA-N,inchi
1027-14-1(2),CASRN,GOZBHBFUQHMKQB-UHFFFAOYSA-N,inchi
1027-87-8(2),CASRN,SHVCKTUQDUTJDT-UHFFFAOYSA-N,inchi
102778-59-6(2),CASRN,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,inchi
"10281-55-7(2), 2436-90-0(2)",CASRN,FUDNBFMOXDUIIE-UHFFFAOYSA-N,inchi
"102851-06-9(2), 69409-94-5(2)",CASRN,INISTDXBRIBGOC-UHFFFAOYSA-N,inchi
10287-53-3(2),CASRN,FZUGPQWGEGAKET-UHFFFAOYSA-N,inchi
102992-93-8(2),CASRN,DCOAXFMVFWUZET-UHFFFAOYSA-N,inchi
103-03-7(6),CASRN,AVKHCKXGKPAGEI-UHFFFAOYSA-N,inchi
103-05-9(2),CASRN,YXVSKJDFNJFXAJ-UHFFFAOYSA-N,inchi
103-09-3(4),CASRN,WOYWLLHHWAMFCB-UHFFFAOYSA-N,inchi
103-11-7(4),CASRN,GOXQRTZXKQZDDN-UHFFFAOYSA-N,inchi
103-16-2(4),CASRN,VYQNWZOUAUKGHI-UHFFFAOYSA-N,inchi
103-16-2(6),CASRN,VYQNWZOUAUKGHI-UHFFFAOYSA-N,inchi
103-17-3(1),CASRN,ZHLKXBJTJHRTTE-UHFFFAOYSA-N,inchi
103-23-1(4),CASRN,SAOKZLXYCUGLFA-UHFFFAOYSA-N,inchi
103-24-2(4),CASRN,ZDWGXBPVPXVXMQ-UHFFFAOYSA-N,inchi
103-29-7(2),CASRN,QWUWMCYKGHVNAV-UHFFFAOYSA-N,inchi
103-30-0(2),CASRN,PJANXHGTPQOBST-VAWYXSNFSA-N,inchi
103-31-1(4),CASRN,QKHRGPYNTXRMSL-VOTSOKGWSA-N,inchi
103-33-3(4),CASRN,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,inchi
103-34-4(4),CASRN,HLBZWYXLQJQBKU-UHFFFAOYSA-N,inchi
103-36-6(2),CASRN,KBEBGUQPQBELIU-CMDGGOBGSA-N,inchi
103-37-7(2),CASRN,VONGZNXBKCOUHB-UHFFFAOYSA-N,inchi
103-38-8(2),CASRN,HVJKZICIMIWFCP-UHFFFAOYSA-N,inchi
103-41-3(4),CASRN,NGHOLYJTSCBCGC-VAWYXSNFSA-N,inchi
103-45-7(2),CASRN,MDHYEMXUFSJLGV-UHFFFAOYSA-N,inchi
103-48-0(2),CASRN,JDQVBGQWADMTAM-UHFFFAOYSA-N,inchi
103-49-1(2),CASRN,BWLUMTFWVZZZND-UHFFFAOYSA-N,inchi
103-50-4(2),CASRN,MHDVGSVTJDSBDK-UHFFFAOYSA-N,inchi
103-52-6(2),CASRN,WFNDDSQUKATKNX-UHFFFAOYSA-N,inchi
103-53-7(2),CASRN,MJQVZIANGRDJBT-VAWYXSNFSA-N,inchi
103-54-8(2),CASRN,WJSDHUCWMSHDCR-VMPITWQZSA-N,inchi
103-59-3(2),CASRN,KLKQSZIWHVEARN-RMKNXTFCSA-N,inchi
103-60-6(2),CASRN,MJTPMXWJHPOWGH-UHFFFAOYSA-N,inchi
103-63-9(2),CASRN,WMPPDTMATNBGJN-UHFFFAOYSA-N,inchi
103-65-1(2),CASRN,ODLMAHJVESYWTB-UHFFFAOYSA-N,inchi
103-69-5(4),CASRN,OJGMBLNIHDZDGS-UHFFFAOYSA-N,inchi
103-70-8(2),CASRN,DYDNPESBYVVLBO-UHFFFAOYSA-N,inchi
103-72-0(2),CASRN,QKFJKGMPGYROCL-UHFFFAOYSA-N,inchi
103-74-2(2),CASRN,BXGYBSJAZFGIPX-UHFFFAOYSA-N,inchi
103-76-4(4),CASRN,WFCSWCVEJLETKA-UHFFFAOYSA-N,inchi
103-82-2(4),CASRN,WLJVXDMOQOGPHL-UHFFFAOYSA-N,inchi
103-83-3(4),CASRN,XXBDWLFCJWSEKW-UHFFFAOYSA-N,inchi
103-84-4(4),CASRN,FZERHIULMFGESH-UHFFFAOYSA-N,inchi
103-85-5(4),CASRN,FULZLIGZKMKICU-UHFFFAOYSA-N,inchi
103-89-9(2),CASRN,YICAMJWHIUMFDI-UHFFFAOYSA-N,inchi
103-90-2(6),CASRN,RZVAJINKPMORJF-UHFFFAOYSA-N,inchi
103-95-7(2),CASRN,ZFNVDHOSLNRHNN-UHFFFAOYSA-N,inchi
103055-07-8(4),CASRN,PWPJGUXAGUPAHP-UHFFFAOYSA-N,inchi
1031-07-8(2),CASRN,AAPVQEMYVNZIOO-UHFFFAOYSA-N,inchi
10310-32-4(2),CASRN,ULLNJSBQMBKOJH-UHFFFAOYSA-N,inchi
10311-84-9(2),CASRN,MUMQYXACQUZOFP-UHFFFAOYSA-N,inchi
103112-35-2(2),CASRN,GMBRUAIJEFRHFQ-UHFFFAOYSA-N,inchi
103177-37-3(2),CASRN,NBQKINXMPLXUET-UHFFFAOYSA-N,inchi
10319-14-9(2),CASRN,DVBLPJWQXDCAKU-UHFFFAOYSA-N,inchi
1032350-13-2(2),CASRN,ULDXWLCXEDXJGE-UHFFFAOYSA-N,inchi
103300-74-9(2),CASRN,LQZAIAZUDWIVPM-UHFFFAOYSA-N,inchi
103361-09-7(2),CASRN,FOUWCSDKDDHKQP-UHFFFAOYSA-N,inchi
103377-41-9(2),CASRN,WFNRNNUZFPVBSM-UHFFFAOYSA-N,inchi
10338-51-9(2),CASRN,ILRCGYURZSFMEG-UHFFFAOYSA-N,inchi
10339-55-6(2),CASRN,KRLBLPBPZSSIGH-CSKARUKUSA-N,inchi
1034-01-1(2),CASRN,NRPKURNSADTHLJ-UHFFFAOYSA-N,inchi
103420-77-5(2),CASRN,NFHRQQKPEBFUJK-UHFFFAOYSA-N,inchi
103577-45-3(4),CASRN,MJIHNNLFOKEZEW-UHFFFAOYSA-N,inchi
103597-45-1(2),CASRN,FQUNFJULCYSSOP-UHFFFAOYSA-N,inchi
103628-46-2(2),CASRN,KQKPFRSPSRPDEB-UHFFFAOYSA-N,inchi
"103639-04-9(2), 99614-02-5(2)",CASRN,FELGMEQIXOGIFQ-UHFFFAOYSA-N,inchi
103725-47-9(2),CASRN,VDPYMEBVIDZKMD-UHFFFAOYSA-N,inchi
10373-78-1(2),CASRN,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,inchi
103766-25-2(2),CASRN,AXYGRUFURGOCPO-UHFFFAOYSA-N,inchi
1038-59-1(2),CASRN,XTOBSLUVJNOXGB-UHFFFAOYSA-N,inchi
10381-75-6(2),CASRN,SKTFQHRVFFOHTQ-UHFFFAOYSA-N,inchi
103878-83-7(2),CASRN,JZXRLKWWVNUZRB-UHFFFAOYSA-N,inchi
103909-75-7(2),CASRN,DTXXSJZBSTYZKE-WWBRWCDLSA-N,inchi
103922-33-4(2),CASRN,IFVDWRVXVXSEPA-QAUMPCNCSA-N,inchi
104-06-3(4),CASRN,SRVJKTDHMYAMHA-WUXMJOGZSA-N,inchi
104-12-1(2),CASRN,ADAKRBAJFHTIEW-UHFFFAOYSA-N,inchi
104-13-2(2),CASRN,OGIQUQKNJJTLSZ-UHFFFAOYSA-N,inchi
"104-14-3(2), 770-05-8(2)",CASRN,QHGUCRYDKWKLMG-UHFFFAOYSA-N,inchi
104-20-1(2),CASRN,PCBSXBYCASFXTM-UHFFFAOYSA-N,inchi
"104-21-2(2), 1331-83-5(2)",CASRN,HFNGYHHRRMSKEU-UHFFFAOYSA-N,inchi
104-22-3(2),CASRN,ZHKXBELKPQXYEH-UHFFFAOYSA-N,inchi
104-27-8(2),CASRN,SLDQOBRACOQXGE-QPJJXVBHSA-N,inchi
104-29-0(2),CASRN,MXOAEAUPQDYUQM-UHFFFAOYSA-N,inchi
104-31-4(2),CASRN,MAFMQEKGGFWBAB-UHFFFAOYSA-N,inchi
104-32-5(2),CASRN,WTFXJFJYEJZMFO-UHFFFAOYSA-N,inchi
104-38-1(2),CASRN,WTPYFJNYAMXZJG-UHFFFAOYSA-N,inchi
104-40-5(4),CASRN,IGFHQQFPSIBGKE-UHFFFAOYSA-N,inchi
104-43-8(2),CASRN,KJWMCPYEODZESQ-UHFFFAOYSA-N,inchi
104-43-8(4),CASRN,KJWMCPYEODZESQ-UHFFFAOYSA-N,inchi
104-45-0(2),CASRN,KBHWKXNXTURZCD-UHFFFAOYSA-N,inchi
104-46-1(4),CASRN,RUVINXPYWBROJD-ARJAWSKDSA-N,inchi
104-50-7(2),CASRN,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,inchi
104-51-8(2),CASRN,OCKPCBLVNKHBMX-UHFFFAOYSA-N,inchi
104-53-0(2),CASRN,YGCZTXZTJXYWCO-UHFFFAOYSA-N,inchi
104-54-1(4),CASRN,OOCCDEMITAIZTP-QPJJXVBHSA-N,inchi
104-61-0(2),CASRN,OALYTRUKMRCXNH-UHFFFAOYSA-N,inchi
104-63-2(2),CASRN,XNIOWJUQPMKCIJ-UHFFFAOYSA-N,inchi
104-66-5(4),CASRN,XCSGHNKDXGYELG-UHFFFAOYSA-N,inchi
104-67-6(2),CASRN,PHXATPHONSXBIL-UHFFFAOYSA-N,inchi
104-75-6(2),CASRN,LTHNHFOGQMKPOV-UHFFFAOYSA-N,inchi
104-76-7(4),CASRN,YIWUKEYIRIRTPP-UHFFFAOYSA-N,inchi
104-85-8(2),CASRN,VCZNNAKNUVJVGX-UHFFFAOYSA-N,inchi
104-88-1(2),CASRN,AVPYQKSLYISFPO-UHFFFAOYSA-N,inchi
104-91-6(4),CASRN,JSTCPNFNKICNNO-UHFFFAOYSA-N,inchi
104-93-8(2),CASRN,CHLICZRVGGXEOD-UHFFFAOYSA-N,inchi
104-98-3(2),CASRN,LOIYMIARKYCTBW-OWOJBTEDSA-N,inchi
10402-33-2(2),CASRN,JEEUACXJJPNYOL-UHFFFAOYSA-N,inchi
10402-53-6(2),CASRN,BSHWLCACYCVCJE-UHFFFAOYSA-N,inchi
10405-02-4(2),CASRN,OYYDSUSKLWTMMQ-UHFFFAOYSA-N,inchi
"104054-27-5(2), 104075-48-1(2)",CASRN,HSWPZIDYAHLZDD-UHFFFAOYSA-N,inchi
104076-39-3(2),CASRN,KUBONGDXTUOOLM-UHFFFAOYSA-N,inchi
104098-48-8(2),CASRN,PVSGXWMWNRGTKE-UHFFFAOYSA-N,inchi
10417-94-4(2),CASRN,JAZBEHYOTPTENJ-JLNKQSITSA-N,inchi
10420-33-4(2),CASRN,XREKLQOUFWBSFH-UHFFFAOYSA-N,inchi
104206-82-8(2),CASRN,KPUREKXXPHOJQT-UHFFFAOYSA-N,inchi
