gene,value
HN1L,0.17906087636947632
HOMER2,-0.11292988061904907
HOOK2,-0.26835840940475464
HOXA10,-0.1291886419057846
HOXA5,-0.4091184437274933
HPRT1,0.35971954464912415
HS2ST1,0.5508852005004883
HSD17B10,0.31451115012168884
HSD17B11,0.5536085367202759
HSPA1A,-0.03382301330566406
HSPA4,-0.2764204144477844
HSPA8,0.8881235718727112
HSPB1,0.16097186505794525
HSPD1,0.4396255612373352
HTATSF1,0.15892107784748077
HTRA1,-0.11927055567502975
HYOU1,-0.05802924185991287
IARS2,0.4107995629310608
ICAM1,-0.5637505054473877
ICAM3,0.3341980576515198
ICMT,-0.019794344902038574
ID2,0.10423624515533447
IDE,-0.35269466042518616
IER3,0.23117320239543915
IFNAR1,-0.8233088254928589
IFRD2,0.6331765651702881
IGF1R,0.32831478118896484
IGF2BP2,-0.4358416199684143
IGF2R,-0.37989622354507446
IGFBP3,0.18296915292739868
IGHMBP2,-0.43429529666900635
IKBKAP,-0.17701339721679688
IKBKB,0.5635548233985901
IKBKE,-0.4256279766559601
IKZF1,0.4355827569961548
IL13RA1,0.5448428392410278
IL1B,-0.30386507511138916
IL4R,-0.9247125387191772
ILK,-0.05268444865942001
INPP1,0.22884242236614227
INPP4B,-0.2106132209300995
INSIG1,-0.015571437776088715
INTS3,0.24604924023151398
IPO13,-0.64020836353302
IQGAP1,-0.6589758992195129
ISOC1,0.23739920556545258
ITFG1,-0.5635696649551392
ITGAE,0.8393740057945251
ITGB1BP1,-0.27961108088493347
ITGB5,0.4788414537906647
JADE2,-0.2707515358924866
JMJD6,0.21725884079933167
JUN,-1.1796317100524902
KAT6A,0.6759027242660522
KAT6B,1.8406747579574585
KCNK1,1.0730082988739014
KCTD5,-0.11133131384849548
KDELR2,0.2508562207221985
KDM3A,-0.19503752887248993
KDM5A,0.24107369780540466
KDM5B,-0.30676156282424927
KEAP1,0.49210718274116516
KIAA0100,0.3646509647369385
KIAA0196,-0.5394235849380493
KIAA0355,0.121268630027771
KIAA0753,-0.18125666677951813
KIAA0907,0.4685301184654236
KIAA1033,-0.03282148763537407
KIF14,0.5150977373123169
KIF1BP,0.4943779706954956
KIF20A,-1.0994778871536255
KIF2C,0.24432633817195892
KIF5C,0.4470810294151306
KIT,-0.04876323416829109
KLHDC2,0.3699154257774353
KLHL21,1.035080909729004
KLHL9,-0.3370329737663269
KTN1,-0.6287367939949036
LAGE3,0.4127228260040283
LAMA3,0.3118181824684143
LAP3,0.3113442659378052
LBR,-0.0007274001836776733
